game_name,original_price,new_price,platform,price_start_date
Yakuza Kiwami,19.99,5.98,Gamebillet,2022-10-08T23:04:23+00:00
Pilgrims,4.99,1.74,Steam,2022-10-07T17:34:16+00:00
Eldest Souls,19.99,7.99,Steam,2022-10-03T17:58:39+00:00
Dead Rising,17.73,4.16,Gamesplanet UK,2022-10-03T08:10:10+00:00
RESIDENT EVIL 5,15.51,3.09,Gamesplanet UK,2022-10-03T08:10:10+00:00
Thief,19.99,2.79,Fanatical,2022-09-11T23:03:48+00:00
Journey,14.99,5.35,Gamebillet,2022-10-07T08:03:25+00:00
Fallout 4,19.99,4.99,Steam,2022-10-04T17:45:36+00:00
Sherlock Holmes Chapter One,44.99,22.49,Steam,2022-10-03T17:58:58+00:00
Judgment: Apocalypse Survival Simulation - Desert Edition,19.99,9.99,Gog.com,2022-10-03T13:08:58+00:00
Mega Man X Legacy Collection 2,17.73,5.31,Gamesplanet UK,2022-10-03T08:10:10+00:00
嗜血印 Bloody Spell,24.99,9.24,Steam,2022-09-30T02:32:26+00:00
Steep,29.99,5.4,Ubisoft Store,2022-09-29T15:05:45+00:00
Griftlands,19.99,13.39,Steam,2022-10-08T17:32:26+00:00
Othercide,29.99,11.99,Fanatical,2022-10-06T23:02:50+00:00
Secret of Mana,39.99,19.99,Steam,2022-10-06T17:47:11+00:00
Telling Lies,16.35,4.38,Gamesplanet DE,2022-10-06T00:08:45+00:00
Back 4 Blood,59.99,23.99,Microsoft Store,2022-10-04T01:40:41+00:00
Thymesia,18.27,17.9,Voidu,2022-10-03T17:01:31+00:00
MONSTER HUNTER: WORLD,29.99,12.67,Gamebillet,2022-09-26T22:02:01+00:00
Life Goes On: Done to Death,12.99,2.59,Steam,2022-09-25T17:31:45+00:00
RUINER,19.99,3.99,Steam,2022-10-07T17:47:11+00:00
Sonic Origins Digital Deluxe,44.99,23.38,Gamebillet,2022-10-07T08:03:25+00:00
Rock of Ages,9.99,2.49,Steam,2022-10-06T17:37:55+00:00
